,title,year,artist,img link
79,Lorelei,XIX-XX cent.,Albert Pinkham Ryder,https://uploads5.wikiart.org/images/hoca-ali-riza/karda-sk-dar.jpg
80,The Old Track to Auvers,1863,Berthe Morisot,https://uploads6.wikiart.org/images/ernst-wilhelm-nay/dominant-blau-1964.jpg
81,Gathering Plums,1901,Henry Herbert La Thangue,https://uploads7.wikiart.org/images/albert-pinkham-ryder/lorelei.jpg
82,Familie 0-Mittag,2001,Matthias Weischer,https://uploads4.wikiart.org/images/berthe-morisot/the-old-track-to-auvers-1863.jpg
83,Untitled (Yellow Painting),1971,Joseph Marioni,https://uploads6.wikiart.org/images/henry-herbert-la-thangue/gathering-plums-1901.jpg
84,Christ and Sinner,1873,Henryk Siemiradzki,https://uploads0.wikiart.org/images/matthias-weischer/familie-0-mittag-2001.jpg
85,Portrait of Prince Henry Lubomirski as the Genius of Fame,1789,Louise Elisabeth Vigee Le Brun,https://uploads5.wikiart.org/images/joseph-marioni/untitled-yellow-painting-1971.jpg
86,"The Battle of La Hogue, Destruction of the French fleet, May 22, 1692",XVIII-XIX cent.,Benjamin West,https://uploads6.wikiart.org/images/henryk-siemiradzki/christ-and-sinner.jpg
87,\,1991,Felix Gonzalez-Torres,https://uploads0.wikiart.org/images/louise-elisabeth-vigee-le-brun/portrait-of-prince-henry-lubomirski-as-the-genius-of-fame-1789.jpg
88,Abstract Picture,1994,Gerhard Richter,https://uploads5.wikiart.org/images/benjamin-west/the-battle-of-la-hogue-destruction-of-the-french-fleet-may-22-1692.jpg
89,Rape of the Sabine Women,1637-1638,Nicolas Poussin,https://uploads2.wikiart.org/images/felix-gonzalez-torres/untitled-public-opinion-1991.jpg
90,Boat at the beach,1874,Ioannis Altamouras,https://uploads5.wikiart.org/images/gerhard-richter/abstraktes-bild-abstract-picture-1994.jpg
91,Ruins of the Ancient Theatre of Taormina,1905,Tivadar Kosztka Csontvary,https://uploads5.wikiart.org/images/nicolas-poussin/the-rape-of-the-sabines-1638.jpg
92,Flowers Of Edo,XVIII-XIX cent.,Kitagawa Utamaro,https://uploads2.wikiart.org/images/ioannis-altamouras/boat-at-the-beach-1874.jpg
93,Exposed Painting Cadmium Red light,2007,Callum Innes,https://uploads5.wikiart.org/images/tivadar-kosztka-csontvary/ruins-of-the-ancient-theatre-of-taormina-1905.jpg
94,Untitled,1974,Tony DeLap,https://uploads1.wikiart.org/images/kitagawa-utamaro/flowers-of-edo.jpg
95,Panoramic landscape,1625,Hercules Seghers,https://uploads4.wikiart.org/images/callum-innes/exposed-painting-cadmium-red-light-2007.jpg
96,Martyrdom of Saint Sebastian,1590,Hans von Aachen,https://uploads3.wikiart.org/images/tony-delap/untitled-1974.jpg
97,View of Langelinie (untitled verso?),1924,Edvard Weie,https://uploads6.wikiart.org/images/hercules-seghers/panoramic-landscape.jpg
98,Judgement. Sketch of murals for of the church of the Assumption in Olshany,XIX-XX cent.,Ivan Bilibin,https://uploads1.wikiart.org/images/hans-von-aachen/martyrdom-of-saint-sebastian-1590.jpg
99,Morning in Mykonos,1960,William Scott,https://uploads2.wikiart.org/images/edvard-weie/view-of-langelinie-untitled-verso-1924.jpg
100,Jardines de Aranjuez 1,XIX-XX cent.,Santiago Rusinol,https://uploads2.wikiart.org/images/ivan-bilibin/judgement-sketch-of-murals-for-of-the-church-of-the-assumption-in-olshany.jpg
101,Painterly Architectonic,1918,Lyubov Popova,https://uploads7.wikiart.org/images/william-scott/morning-in-mykonos-1960.jpg
102,Mauve Barn,1985,Eyvind Earle,https://uploads0.wikiart.org/images/santiago-rusinol/jardines-de-aranjuez-1.jpg
103,The Last Day of Pompeii,1830-1833,Karl Bryullov,https://uploads7.wikiart.org/images/lyubov-popova/painterly-architectonic.jpg
